CLIENTE,CODIGO,PRODUCTO,CANTIDAD,PRECIO
O.S. PERSONAL DE MAESTRANZA,041084510,3TC 150 CM 60,1.00,333.360
O.S. PERSONAL DE MAESTRANZA,042148810,STAMAR 40 CP 60,1.00,423.300
O.S. PERSONAL DE MAESTRANZA,041966510,VIRAMUNE CM 100,1.00,666.710
O.S. PERSONAL DE MAESTRANZA,044081810,3TC COMPLEX CM 60,1.00,645.590
O.S. PERSONAL DE MAESTRANZA,044081810,3TC COMPLEX CM 60,1.00,645.590
O.S. PERSONAL DE MAESTRANZA,044081810,3TC COMPLEX CM 60,1.00,645.590
O.S. PERSONAL DE MAESTRANZA,044081810,3TC COMPLEX CM 60,1.00,645.590
O.S.D.I.C.,041084510,3TC 150 CM 60,1.00,333.360
O.S.D.I.C.,HIDROXIUREA ASOFARMA 500 CP 100,1.00,198.890            
O.S.D.I.C.,041084510,3TC 150 CM 60,1.00,333.360
O.S.D.I.C.,035668510,HIDROXIUREA ASOFARMA 500 CP 100,1.00,198.890
PANMEDICA,040241210,ZEROPENEM 500 IV FRA1,5.00,59.390
PANMEDICA,040241210,ZEROPENEM 500 IV FRA1,5.00,59.390
FEMEBA LA MATANZA,005729130,METOTREXATO LEDERLE 2.5 CM 100,1.00,38.410
FEMEBA LA MATANZA,VARIMER0001,VARIMER 50 X 25,1.00,49.800
FEMEBA LA MATANZA,005729130,METOTREXATO LEDERLE 2.5 CM 100,1.00,38.410
FEMEBA LA MATANZA,VARIMER0001,VARIMER 50 X 25,1.00,49.800
CIRCULO MEDICO DE VTE LOPEZ,ACICLOVIR0001,ACICLOVIR FILAXIS 800 X 20,3.00,67.610
CIRCULO MEDICO DE VTE LOPEZ,ACICLOVIR0001,ACICLOVIR FILAXIS 800 X 20,3.00,67.610
CIRCULO MEDICO DE VTE LOPEZ,ACICLOVIR0001,ACICLOVIR FILAXIS 800 X 20,3.00,67.610
CIRCULO MEDICO DE VTE LOPEZ,ACICLOVIR0001,ACICLOVIR FILAXIS 800 X 20,3.00,67.610
MEDITAR,041084510,3TC 150 CM 60,1.00,333.360
MEDITAR,042148810,STAMAR 40 CP 60,1.00,423.300
MEDITAR,041084510,3TC 150 CM 60,1.00,333.360
MEDITAR,042148810,STAMAR 40 CP 60,1.00,423.300
MEDITAR,035668510,HIDROXIUREA ASOFARMA 500 CP 100,1.00,198.890
MEDITAR,035668510,HIDROXIUREA ASOFARMA 500 CP 100,1.00,198.890
CORPORACION ASISTENCIAL,030712510,LUPRON DEPOT 7.5 KIT1,1.00,759.640
CORPORACION ASISTENCIAL,029259010,ANDROCUR 50 CM 50,3.00,372.800
CORPORACION ASISTENCIAL,030712510,LUPRON DEPOT 7.5 KIT1,1.00,759.640
CORPORACION ASISTENCIAL,029259010,ANDROCUR 50 CM 50,3.00,372.800
CORPORACION ASISTENCIAL,031331220,DIEMON 20 CM 30,2.00,43.480
CORPORACION ASISTENCIAL,031331220,DIEMON 20 CM 30,2.00,43.480
CORPORACION ASISTENCIAL,031331220,DIEMON 20 CM 30,2.00,43.480
CORPORACION ASISTENCIAL,031331220,DIEMON 20 CM 30,2.00,43.480
FEMEBA LA MATANZA,039384310,MITOMICINA LABINCA 20 FRA1,8.00,413.030
FEMEBA LA MATANZA,039384310,MITOMICINA LABINCA 20 FRA1,8.00,413.030
O.S.D.I.C.,031998010,LEDERFOLIN CM 10,6.00,85.470